Species,OTUID
Mycobacterium avium subsp. hominissuis,OTU_1
"Mycobacterium abscessus strain FLAC046,",OTU_2
Leifsonia xyli subsp. cynodontis,OTU_3
Mycobacterium celatum rpoB gene,OTU_4
"Agromyces aureus strain AR33,",OTU_5
"Mycobacterium chelonae CCUG 47445,",OTU_6
"Propionibacterium acnes strain PA_12_1_L1,",OTU_7
Agromyces flavus strain CPCC,OTU_8
"Nakamurella multipartita DSM 44233,",OTU_9
Mycobacterium avium subsp. hominissuis,OTU_10
"Mycobacterium intracellulare MOTT-02, complete",OTU_11
Mycobacterium avium subsp. hominissuis,OTU_12
Mycobacterium avium subsp. hominissuis,OTU_13
Microbacterium aurum strain KACC,OTU_14
"Mycobacterium intracellulare 1956, complete",OTU_15
"Mycobacterium chelonae CCUG 47445,",OTU_16
Mycobacterium avium subsp. hominissuis,OTU_17
Mycobacterium avium subsp. hominissuis,OTU_18
Mycobacterium avium subsp. hominissuis,OTU_19
Mycobacterium avium subsp. hominissuis,OTU_20
Mycobacterium chelonae strain ATCC,OTU_21
Mycobacterium celatum rpoB gene,OTU_22
Mycobacterium avium subsp. hominissuis,OTU_23
"Mycobacterium abscessus strain FLAC046,",OTU_24
"Brevibacterium linens strain BS258,",OTU_25
Mycobacterium avium subsp. hominissuis,OTU_26
Mycobacterium chimaera strain Mycobacterium,OTU_27
Mycobacterium avium subsp. hominissuis,OTU_28
Mycobacterium avium subsp. hominissuis,OTU_29
"Mycobacterium avium strain RCAD0278,",OTU_30
"Microbacterium sp. PAMC 28756,",OTU_31
Leifsonia xyli subsp. cynodontis,OTU_32
Leifsonia sp. 98AMF genome,OTU_33
"Mycobacterium abscessus strain FLAC046,",OTU_34
Mycobacterium simiae strain FI-00162,OTU_35
Leifsonia xyli subsp. cynodontis,OTU_36
Mycobacterium chimaera strain Mycobacterium,OTU_37
Mycobacterium chelonae strain ATCC,OTU_38
"Gordonia sp. KTR9, complete",OTU_39
Mycobacterium avium subsp. hominissuis,OTU_40
Mycobacterium avium subsp. hominissuis,OTU_41
Mycobacterium avium subsp. hominissuis,OTU_42
Mycobacterium avium subsp. hominissuis,OTU_43
Leifsonia xyli subsp. cynodontis,OTU_44
Mycobacterium avium subsp. hominissuis,OTU_45
Mycobacterium avium subsp. hominissuis,OTU_46
Mycobacterium avium subsp. hominissuis,OTU_47
"Mycobacterium abscessus strain FLAC046,",OTU_48
"Mycobacterium sp. EPa45, complete",OTU_49
Mycobacterium avium subsp. hominissuis,OTU_50
"Streptomyces sp. 4F, complete",OTU_51
Mycobacterium avium subsp. hominissuis,OTU_52
Mycobacterium avium subsp. hominissuis,OTU_53
Leifsonia xyli subsp. cynodontis,OTU_54
Mycobacterium avium subsp. hominissuis,OTU_55
Mycobacterium avium subsp. hominissuis,OTU_56
Mycobacterium avium subsp. hominissuis,OTU_57
Mycobacterium gordonae strain ATCC,OTU_58
Mycobacterium avium subsp. hominissuis,OTU_59
Propionibacterium sp. oral taxon,OTU_60
Mycobacterium avium subsp. hominissuis,OTU_61
Leifsonia xyli subsp. cynodontis,OTU_62
Mycobacterium avium subsp. hominissuis,OTU_63
"Mycobacterium sp. WY10, complete",OTU_64
"Mycobacterium abscessus strain FLAC046,",OTU_65
Mycobacterium simiae strain FI-00162,OTU_66
"Mycobacterium chelonae CCUG 47445,",OTU_67
Mycobacterium avium subsp. hominissuis,OTU_68
"Leifsonia xyli strain SE134,",OTU_69
Mycobacterium avium subsp. hominissuis,OTU_70
Mycobacterium avium subsp. hominissuis,OTU_71
Mycobacterium avium subsp. hominissuis,OTU_72
Mycobacterium celatum rpoB gene,OTU_73
Mycobacterium avium subsp. hominissuis,OTU_74
Agromyces flavus strain CPCC,OTU_75
Mycobacterium chimaera strain Mycobacterium,OTU_76
Agromyces flavus strain CPCC,OTU_77
Mycobacterium avium subsp. hominissuis,OTU_78
Mycobacterium avium subsp. hominissuis,OTU_79
Mycobacterium avium subsp. hominissuis,OTU_80
"Catenulispora acidiphila DSM 44928,",OTU_81
Mycobacterium avium subsp. hominissuis,OTU_82
Saccharopolyspora erythraea NRRL2338 complete,OTU_83
"Cnuibacter physcomitrellae strain XA(T),",OTU_84
Leifsonia xyli subsp. cynodontis,OTU_85
Agromyces flavus strain CPCC,OTU_86
"Leifsonia xyli strain SE134,",OTU_87
Agromyces flavus strain CPCC,OTU_88
"Mycobacterium abscessus strain FLAC046,",OTU_89
"Mycobacterium abscessus strain FLAC046,",OTU_90
"Mycobacterium chelonae CCUG 47445,",OTU_91
Mycobacterium avium subsp. hominissuis,OTU_92
Mycobacterium chelonae strain ATCC,OTU_93
Mycobacterium avium subsp. hominissuis,OTU_94
"Mycobacterium chelonae CCUG 47445,",OTU_95
"Streptomyces sp. 4F, complete",OTU_96
Mycobacterium simiae strain FI-00162,OTU_97
Mycobacterium avium subsp. hominissuis,OTU_98
Mycobacterium avium subsp. hominissuis,OTU_99
Mycobacterium avium subsp. hominissuis,OTU_100
Mycobacterium avium subsp. hominissuis,OTU_101
Mycobacterium avium subsp. hominissuis,OTU_102
Mycobacterium avium subsp. hominissuis,OTU_103
Mycobacterium avium subsp. hominissuis,OTU_104
Mycobacterium avium subsp. hominissuis,OTU_105
Mycobacterium avium subsp. hominissuis,OTU_106
Mycobacterium avium subsp. hominissuis,OTU_107
Mycobacterium avium subsp. hominissuis,OTU_108
Mycobacterium avium subsp. hominissuis,OTU_109
Mycobacterium avium subsp. hominissuis,OTU_110
Mycobacterium avium subsp. hominissuis,OTU_111
Mycobacterium avium subsp. hominissuis,OTU_112
Mycobacterium avium subsp. hominissuis,OTU_113
Mycobacterium avium subsp. hominissuis,OTU_114
Mycobacterium avium subsp. hominissuis,OTU_115
"Gordonia bronchialis DSM 43247,",OTU_116
Agromyces flavus strain CPCC,OTU_117
Mycobacterium avium subsp. hominissuis,OTU_118
Mycobacterium avium subsp. hominissuis,OTU_119
Mycobacterium avium subsp. hominissuis,OTU_120
Mycobacterium avium subsp. hominissuis,OTU_121
Mycobacterium avium subsp. hominissuis,OTU_122
Mycobacterium avium subsp. hominissuis,OTU_123
Mycobacterium avium subsp. hominissuis,OTU_124
Mycobacterium avium subsp. hominissuis,OTU_125
Mycobacterium avium subsp. hominissuis,OTU_126
Mycobacterium avium subsp. hominissuis,OTU_127
Mycobacterium simiae strain FI-00162,OTU_128
Mycobacterium avium subsp. hominissuis,OTU_129
Mycobacterium avium subsp. hominissuis,OTU_130
Mycobacterium avium subsp. hominissuis,OTU_131
Mycobacterium avium subsp. hominissuis,OTU_132
Mycobacterium gordonae isolate 07-2957,OTU_133
Mycobacterium celatum rpoB gene,OTU_134
Mycobacterium avium subsp. hominissuis,OTU_135
Mycobacterium avium subsp. hominissuis,OTU_136
Mycobacterium avium subsp. hominissuis,OTU_137
Mycobacterium avium subsp. hominissuis,OTU_138
"Mycobacterium avium strain RCAD0278,",OTU_139
Mycobacterium avium subsp. hominissuis,OTU_140
Mycobacterium avium subsp. hominissuis,OTU_141
Mycobacterium avium subsp. hominissuis,OTU_142
Mycobacterium avium subsp. hominissuis,OTU_143
Mycobacterium avium subsp. hominissuis,OTU_144
Mycobacterium avium subsp. hominissuis,OTU_145
Mycobacterium avium subsp. hominissuis,OTU_146
Mycobacterium avium subsp. hominissuis,OTU_147
Mycobacterium avium subsp. hominissuis,OTU_148
Mycobacterium avium subsp. hominissuis,OTU_149
Mycobacterium avium subsp. hominissuis,OTU_150
Mycobacterium avium subsp. hominissuis,OTU_151
Mycobacterium avium subsp. hominissuis,OTU_152
Mycobacterium avium subsp. hominissuis,OTU_153
Mycobacterium avium subsp. hominissuis,OTU_154
Mycobacterium avium subsp. hominissuis,OTU_155
Mycobacterium avium subsp. hominissuis,OTU_156
"Agromyces aureus strain AR33,",OTU_157
Mycobacterium avium subsp. hominissuis,OTU_158
Mycobacterium avium subsp. hominissuis,OTU_159
Microbacterium aurum strain KACC,OTU_160
Mycobacterium celatum rpoB gene,OTU_161
Mycobacterium avium subsp. hominissuis,OTU_162
"Mycobacterium avium strain RCAD0278,",OTU_163
Mycobacterium avium subsp. hominissuis,OTU_164
Mycobacterium avium subsp. hominissuis,OTU_165
Mycobacterium avium subsp. hominissuis,OTU_166
Mycobacterium avium subsp. hominissuis,OTU_167
Mycobacterium avium subsp. hominissuis,OTU_168
Mycobacterium celatum rpoB gene,OTU_169
Mycobacterium avium subsp. hominissuis,OTU_170
Mycobacterium avium subsp. hominissuis,OTU_171
Mycobacterium celatum rpoB gene,OTU_172
"Agromyces aureus strain AR33,",OTU_173
"Agromyces aureus strain AR33,",OTU_174
Mycobacterium celatum rpoB gene,OTU_175
Mycobacterium avium subsp. hominissuis,OTU_176
Mycobacterium avium subsp. hominissuis,OTU_177
Mycobacterium avium subsp. hominissuis,OTU_178
Mycobacterium avium subsp. hominissuis,OTU_179
Mycobacterium avium subsp. hominissuis,OTU_180
Mycobacterium avium subsp. hominissuis,OTU_181
Mycobacterium avium subsp. hominissuis,OTU_182
Microbacterium aurum strain KACC,OTU_183
Mycobacterium avium subsp. hominissuis,OTU_184
Mycobacterium avium subsp. hominissuis,OTU_185
Mycobacterium avium subsp. hominissuis,OTU_186
Mycobacterium avium subsp. hominissuis,OTU_187
Mycobacterium avium subsp. hominissuis,OTU_188
Mycobacterium avium subsp. hominissuis,OTU_189
Mycobacterium avium subsp. hominissuis,OTU_190
Mycobacterium avium subsp. hominissuis,OTU_191
Mycobacterium avium subsp. hominissuis,OTU_192
Mycobacterium avium subsp. hominissuis,OTU_193
Mycobacterium avium subsp. hominissuis,OTU_194
Mycobacterium avium subsp. hominissuis,OTU_195
Microbacterium pygmaeum strain DSM,OTU_196
Mycobacterium avium subsp. hominissuis,OTU_197
Mycobacterium avium subsp. hominissuis,OTU_198
Mycobacterium avium subsp. hominissuis,OTU_199
Sinomonas atrocyanea strain KCTC,OTU_200
Mycobacterium avium subsp. hominissuis,OTU_201
"Nakamurella multipartita DSM 44233,",OTU_202
"Nakamurella multipartita DSM 44233,",OTU_203
Agromyces flavus strain CPCC,OTU_204
Mycobacterium avium subsp. hominissuis,OTU_205
"Agromyces aureus strain AR33,",OTU_206
Mycobacterium avium subsp. hominissuis,OTU_207
Mycobacterium avium subsp. hominissuis,OTU_208
Mycobacterium avium subsp. hominissuis,OTU_209
"Nakamurella multipartita DSM 44233,",OTU_210
Mycobacterium avium subsp. hominissuis,OTU_211
Agromyces flavus strain CPCC,OTU_212
"Nakamurella multipartita DSM 44233,",OTU_213
"Nakamurella multipartita DSM 44233,",OTU_214
"Nakamurella multipartita DSM 44233,",OTU_215
Mycobacterium avium subsp. hominissuis,OTU_216
Mycobacterium avium subsp. hominissuis,OTU_217
Mycobacterium avium subsp. hominissuis,OTU_218
Mycobacterium avium subsp. hominissuis,OTU_219
Mycobacterium avium subsp. hominissuis,OTU_220
Mycobacterium avium subsp. hominissuis,OTU_221
Mycobacterium avium subsp. hominissuis,OTU_222
Mycobacterium avium subsp. hominissuis,OTU_223
Mycobacterium avium subsp. hominissuis,OTU_224
Leifsonia xyli subsp. cynodontis,OTU_225
Mycobacterium avium subsp. hominissuis,OTU_226
Mycobacterium avium subsp. hominissuis,OTU_227
Mycobacterium avium subsp. hominissuis,OTU_228
Mycobacterium avium subsp. hominissuis,OTU_229
Mycobacterium avium subsp. hominissuis,OTU_230
Mycobacterium avium subsp. hominissuis,OTU_231
Mycobacterium avium subsp. hominissuis,OTU_232
Mycobacterium avium subsp. hominissuis,OTU_233
Mycobacterium avium subsp. hominissuis,OTU_234
"Mycobacterium avium strain RCAD0278,",OTU_235
Mycobacterium avium subsp. hominissuis,OTU_236
Agromyces flavus strain CPCC,OTU_237
Mycobacterium avium subsp. hominissuis,OTU_238
Mycobacterium avium subsp. hominissuis,OTU_239
Mycobacterium avium subsp. hominissuis,OTU_240
Mycobacterium avium subsp. hominissuis,OTU_241
"Agromyces aureus strain AR33,",OTU_242
Mycobacterium avium subsp. hominissuis,OTU_243
Mycobacterium avium subsp. hominissuis,OTU_244
Mycobacterium avium subsp. hominissuis,OTU_245
Mycobacterium avium subsp. hominissuis,OTU_246
Mycobacterium avium subsp. hominissuis,OTU_247
Mycobacterium avium subsp. hominissuis,OTU_248
Leifsonia xyli subsp. cynodontis,OTU_249
Mycobacterium avium subsp. hominissuis,OTU_250
Mycobacterium avium subsp. hominissuis,OTU_251
"Agromyces aureus strain AR33,",OTU_252
Mycobacterium avium subsp. hominissuis,OTU_253
Leifsonia xyli subsp. cynodontis,OTU_254
Mycobacterium avium subsp. hominissuis,OTU_255
Mycobacterium avium subsp. hominissuis,OTU_256
"Cnuibacter physcomitrellae strain XA(T),",OTU_257
Mycobacterium avium subsp. hominissuis,OTU_258
Mycobacterium avium subsp. hominissuis,OTU_259
Mycobacterium avium subsp. hominissuis,OTU_260
"Cnuibacter physcomitrellae strain XA(T),",OTU_261
Leifsonia xyli subsp. cynodontis,OTU_262
Mycobacterium avium subsp. hominissuis,OTU_263
Leifsonia xyli subsp. cynodontis,OTU_264
Agromyces flavus strain CPCC,OTU_265
Leifsonia xyli subsp. cynodontis,OTU_266
Mycobacterium avium subsp. hominissuis,OTU_267
Mycobacterium avium subsp. hominissuis,OTU_268
Mycobacterium avium subsp. hominissuis,OTU_269
Mycobacterium avium subsp. hominissuis,OTU_270
"Mycobacterium abscessus strain FLAC046,",OTU_271
"Mycobacterium intracellulare 1956, complete",OTU_272
"Mycobacterium sp. 05-1390, complete",OTU_273
"Mycobacterium intracellulare 1956, complete",OTU_274
"Mycobacterium abscessus strain FLAC049,",OTU_275
"Mycobacterium abscessus strain FLAC046,",OTU_276
"Mycobacterium abscessus strain FLAC046,",OTU_277
"Mycobacterium abscessus strain FLAC046,",OTU_278
"Mycobacterium abscessus strain FLAC046,",OTU_279
"Mycobacterium abscessus strain FLAC046,",OTU_280
"Mycobacterium abscessus strain FLAC046,",OTU_281
Mycobacterium avium subsp. hominissuis,OTU_282
Mycobacterium avium subsp. hominissuis,OTU_283
Mycobacterium avium subsp. hominissuis,OTU_284
Mycobacterium avium subsp. hominissuis,OTU_285
Mycobacterium avium subsp. hominissuis,OTU_286
Mycobacterium avium subsp. hominissuis,OTU_287
Mycobacterium avium subsp. hominissuis,OTU_288
Mycobacterium avium subsp. hominissuis,OTU_289
Mycobacterium avium subsp. hominissuis,OTU_290
Mycobacterium avium subsp. hominissuis,OTU_291
Mycobacterium avium subsp. hominissuis,OTU_292
Mycobacterium avium subsp. hominissuis,OTU_293
Mycobacterium avium subsp. hominissuis,OTU_294
Mycobacterium intracellulare ATCC 13950,OTU_295
Mycobacterium gordonae isolate 07-2957,OTU_296
Mycobacterium avium subsp. hominissuis,OTU_297
Mycobacterium avium subsp. hominissuis,OTU_298
Mycobacterium avium subsp. hominissuis,OTU_299
Mycobacterium avium subsp. hominissuis,OTU_300
Mycobacterium avium subsp. hominissuis,OTU_301
Mycobacterium avium subsp. hominissuis,OTU_302
Mycobacterium avium subsp. hominissuis,OTU_303
Mycobacterium avium subsp. hominissuis,OTU_304
Mycobacterium avium subsp. hominissuis,OTU_305
Mycobacterium avium subsp. hominissuis,OTU_306
Mycobacterium avium subsp. hominissuis,OTU_307
Mycobacterium avium subsp. hominissuis,OTU_308
Mycobacterium avium subsp. hominissuis,OTU_309
Mycobacterium avium subsp. hominissuis,OTU_310
Mycobacterium avium subsp. hominissuis,OTU_311
Mycobacterium avium subsp. hominissuis,OTU_312
Mycobacterium avium subsp. hominissuis,OTU_313
Mycobacterium avium subsp. hominissuis,OTU_314
Mycobacterium avium subsp. hominissuis,OTU_315
Mycobacterium avium subsp. hominissuis,OTU_316
Mycobacterium avium subsp. hominissuis,OTU_317
Mycobacterium avium subsp. hominissuis,OTU_318
Mycobacterium chimaera strain Mycobacterium,OTU_319
Mycobacterium avium subsp. hominissuis,OTU_320
Mycobacterium avium subsp. hominissuis,OTU_321
Mycobacterium avium subsp. hominissuis,OTU_322
Mycobacterium avium subsp. hominissuis,OTU_323
Mycobacterium avium subsp. hominissuis,OTU_324
Mycobacterium avium subsp. hominissuis,OTU_325
Mycobacterium avium subsp. hominissuis,OTU_326
Mycobacterium avium subsp. hominissuis,OTU_327
Mycobacterium avium subsp. hominissuis,OTU_328
Mycobacterium avium subsp. hominissuis,OTU_329
Mycobacterium avium subsp. hominissuis,OTU_330
Mycobacterium avium subsp. hominissuis,OTU_331
Mycobacterium avium subsp. hominissuis,OTU_332
Leifsonia xyli subsp. cynodontis,OTU_333
Leifsonia xyli subsp. cynodontis,OTU_334
Mycobacterium avium subsp. hominissuis,OTU_335
Microbacterium aurum strain KACC,OTU_336
"Agromyces aureus strain AR33,",OTU_337
Mycobacterium chelonae strain ATCC,OTU_338
Mycobacterium avium subsp. hominissuis,OTU_339
Mycobacterium chelonae strain ATCC,OTU_340
Mycobacterium avium subsp. hominissuis,OTU_341
Mycobacterium avium subsp. hominissuis,OTU_342
Mycobacterium avium subsp. hominissuis,OTU_343
Mycobacterium avium subsp. hominissuis,OTU_344
Mycobacterium avium subsp. hominissuis,OTU_345
Mycobacterium avium subsp. hominissuis,OTU_346
Mycobacterium avium subsp. hominissuis,OTU_347
Mycobacterium avium subsp. hominissuis,OTU_348
Mycobacterium avium subsp. hominissuis,OTU_349
Mycobacterium avium subsp. hominissuis,OTU_350
"Mycobacterium chelonae CCUG 47445,",OTU_351
Mycobacterium avium subsp. hominissuis,OTU_352
Mycobacterium avium subsp. hominissuis,OTU_353
Mycobacterium avium subsp. hominissuis,OTU_354
"Mycobacterium chelonae CCUG 47445,",OTU_355
Mycobacterium avium subsp. hominissuis,OTU_356
Mycobacterium avium subsp. hominissuis,OTU_357
Mycobacterium avium subsp. hominissuis,OTU_358
Mycobacterium avium subsp. hominissuis,OTU_359
Mycobacterium avium subsp. hominissuis,OTU_360
Mycobacterium avium subsp. hominissuis,OTU_361
Mycobacterium avium subsp. hominissuis,OTU_362
"Mycobacterium chelonae CCUG 47445,",OTU_363
Mycobacterium avium subsp. hominissuis,OTU_364
Mycobacterium chelonae strain ATCC,OTU_365
Mycobacterium avium subsp. hominissuis,OTU_366
Mycobacterium chelonae strain ATCC,OTU_367
